SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Filtered Reads,Coverage
Y160027TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1730460,0.114792
Y160029TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1571674,0.104042
Y160036TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1454585,0.0963825
Y170002TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,1749664,0.11582
Y170003TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,1465298,0.0972813
Y170010TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,1651093,0.109411
Y170015TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,1670812,0.110627
Y170017TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,1717466,0.113273
Y170018TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,1743526,0.11531
Y160001IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1335077,0.0892873
Y160003IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1316316,0.0882754
Y160006IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1028549,0.0688179
Y160007IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1207514,0.0807969
Y160009IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1695325,0.112979
Y160013IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1257446,0.0839791
Y160016IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1551876,0.103907
