SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Path,NewPath
Y170040CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170040CAR_RA.sort.flt.bam,bamsY170040CAR_RA.sort.flt.bam
Y170041CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170041CAR_RA.sort.flt.bam,bamsY170041CAR_RA.sort.flt.bam
Y170042CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170042CAR_RA.sort.flt.bam,bamsY170042CAR_RA.sort.flt.bam
Y170043CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170043CAR_RA.sort.flt.bam,bamsY170043CAR_RA.sort.flt.bam
Y170044CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170044CAR_RA.sort.flt.bam,bamsY170044CAR_RA.sort.flt.bam
Y170045CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170045CAR_RA.sort.flt.bam,bamsY170045CAR_RA.sort.flt.bam
Y170046CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170046CAR_RA.sort.flt.bam,bamsY170046CAR_RA.sort.flt.bam
Y170047CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170047CAR_RA.sort.flt.bam,bamsY170047CAR_RA.sort.flt.bam
Y170048CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170048CAR_RA.sort.flt.bam,bamsY170048CAR_RA.sort.flt.bam
Y170049CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170049CAR_RA.sort.flt.bam,bamsY170049CAR_RA.sort.flt.bam
Y170050CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170050CAR_RA.sort.flt.bam,bamsY170050CAR_RA.sort.flt.bam
Y170051CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170051CAR_RA.sort.flt.bam,bamsY170051CAR_RA.sort.flt.bam
Y170052CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170052CAR_RA.sort.flt.bam,bamsY170052CAR_RA.sort.flt.bam
Y170053CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170053CAR_RA.sort.flt.bam,bamsY170053CAR_RA.sort.flt.bam
Y170054CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170054CAR_RA.sort.flt.bam,bamsY170054CAR_RA.sort.flt.bam
Y170055CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170055CAR_RA.sort.flt.bam,bamsY170055CAR_RA.sort.flt.bam
Y170056CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170056CAR_RA.sort.flt.bam,bamsY170056CAR_RA.sort.flt.bam
Y170057CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170057CAR_RA.sort.flt.bam,bamsY170057CAR_RA.sort.flt.bam
Y170058CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170058CAR_RA.sort.flt.bam,bamsY170058CAR_RA.sort.flt.bam
Y170059CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170059CAR_RA.sort.flt.bam,bamsY170059CAR_RA.sort.flt.bam
Y170060CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170060CAR_RA.sort.flt.bam,bamsY170060CAR_RA.sort.flt.bam
Y170061CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170061CAR_RA.sort.flt.bam,bamsY170061CAR_RA.sort.flt.bam
Y170062CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170062CAR_RA.sort.flt.bam,bamsY170062CAR_RA.sort.flt.bam
Y170063CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170063CAR_RA.sort.flt.bam,bamsY170063CAR_RA.sort.flt.bam
Y170064CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170064CAR_RA.sort.flt.bam,bamsY170064CAR_RA.sort.flt.bam
Y170065CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170065CAR_RA.sort.flt.bam,bamsY170065CAR_RA.sort.flt.bam
Y170066CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170066CAR_RA.sort.flt.bam,bamsY170066CAR_RA.sort.flt.bam
Y170067CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170067CAR_RA.sort.flt.bam,bamsY170067CAR_RA.sort.flt.bam
Y170068CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170068CAR_RA.sort.flt.bam,bamsY170068CAR_RA.sort.flt.bam
Y170069CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170069CAR_RA.sort.flt.bam,bamsY170069CAR_RA.sort.flt.bam
Y170070CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170070CAR_RA.sort.flt.bam,bamsY170070CAR_RA.sort.flt.bam
Y170071CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170071CAR_RA.sort.flt.bam,bamsY170071CAR_RA.sort.flt.bam
Y170072CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170072CAR_RA.sort.flt.bam,bamsY170072CAR_RA.sort.flt.bam
Y170073CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170073CAR_RA.sort.flt.bam,bamsY170073CAR_RA.sort.flt.bam
Y170074CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170074CAR_RA.sort.flt.bam,bamsY170074CAR_RA.sort.flt.bam
Y170075CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170075CAR_RA.sort.flt.bam,bamsY170075CAR_RA.sort.flt.bam
