SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Path,NewPath,Aligned,Filtered,Coverage,Diff,NewGroup
Y160025TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160025TKR_RA.sort.flt.bam,bams/Y160025TKR_RA.sort.flt.bam,NA,1627918,0.107823,24146,Truckee
Y160027TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160027TKR_RA.sort.flt.bam,bams/Y160027TKR_RA.sort.flt.bam,NA,1730460,0.114792,126688,Truckee
Y160029TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160029TKR_RA.sort.flt.bam,bams/Y160029TKR_RA.sort.flt.bam,NA,1571674,0.104042,32098,Truckee
Y160036TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y160036TKR_RA.sort.flt.bam,bams/Y160036TKR_RA.sort.flt.bam,NA,1454585,0.0963825,149187,Truckee
Y170002TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y170002TKR_RA.sort.flt.bam,bams/Y170002TKR_RA.sort.flt.bam,NA,1749664,0.11582,145892,Truckee
Y170003TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y170003TKR_RA.sort.flt.bam,bams/Y170003TKR_RA.sort.flt.bam,NA,1465298,0.0972813,138474,Truckee
Y170010TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y170010TKR_RA.sort.flt.bam,bams/Y170010TKR_RA.sort.flt.bam,NA,1651093,0.109411,47321,Truckee
Y170015TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y170015TKR_RA.sort.flt.bam,bams/Y170015TKR_RA.sort.flt.bam,NA,1670812,0.110627,67040,Truckee
Y170017TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y170017TKR_RA.sort.flt.bam,bams/Y170017TKR_RA.sort.flt.bam,NA,1717466,0.113273,113694,Truckee
Y170018TKR_RA,Truckee,TKR,UP,TKR_Upper,Lahontan Cutthroat Trout,LCT,TRUCKEE,Upper,2017,Extract,/home/amilzz/amilzz/data/alignCDFW04_libPla5/Y170018TKR_RA.sort.flt.bam,bams/Y170018TKR_RA.sort.flt.bam,NA,1743526,0.11531,139754,Truckee
Y160001IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160001IPL_RA.sort.flt.bam,bams/Y160001IPL_RA.sort.flt.bam,NA,1335077,0.0892873,268695,Independence L.
Y160003IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160003IPL_RA.sort.flt.bam,bams/Y160003IPL_RA.sort.flt.bam,NA,1316316,0.0882754,287456,Independence L.
Y160006IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160006IPL_RA.sort.flt.bam,bams/Y160006IPL_RA.sort.flt.bam,NA,1028549,0.0688179,575223,Independence L.
